"rotulo","provincia","direccion"
"PLENOIL","ALBACETE","CALLE FEDERICO GARCIA LORCA, 1"
"TAMOS","ALBACETE","AVENIDA MENÉNDEZ PIDAL, 58"
"REPSOL","ALBACETE","CARRETERA JAEN KM. 2"
"REPSOL","ALBACETE","CR N-301, 244"
"CEPSA","ALBACETE","CARRETERA N-322 KM. 349"
"CORYMAR","ALBACETE","CTRA.AGUASNUEVAS KM 0,25"
"GMOIL","ALBACETE","AVENIDA PRIMERA, S/N"
"NATURGY ES  GNV ALBACETE","ALBACETE","CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N"
"VALERO 24H","ALBACETE","AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67"
"ENERCOM CARBURANTES","ALBACETE","POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69"
"AVANZA OIL","ALBACETE","POLIGONO CAMPOLLANO C/.F, 13"
"FAST & GAS","ALBACETE","AVENIDA 3ª ESQUINA C/ F Nº3, 3"
"CEPSA","ALBACETE","AUTOVIA A-30 KM. 239,4"
"GASÓLEOS S. ALMANSA","ALBACETE","AVENIDA CIRCUNVALACION, 17"
"QUALITY ALMANSA","ALBACETE","CALLE INFANTE DON JUAN MANUEL, 4"
"GASOLINERA LOW COST PENADES","ALBACETE","CARRETERA N-430 BADAJOZ A VALENCIA KM. 594"
"COOPERATIVA SANTA CRUZ DE ALPERA","ALBACETE","BONETE, S/Nº"
"COABA","ALBACETE","CAMINO DE LOS GONZALOS SN"
"CEPSA","ALBACETE","AVDA. DEL VINO, 10"
"VILA Y FAYOS","ALBACETE","CARRETERA D-12 ESTACION KM. 32"
"HAM","ALBACETE","CARRETERA D12 ESTACION KM. 1"
"TRANSPORTES CAUDETE","ALBACETE","CARRETERA N-344 KM. 114,500"
"VIRGEN DE LAS NIEVES","ALBACETE","CALLE VIRGEN DE LAS NIEVES, 17"
"SAN DIONISIO","ALBACETE","LA HIGUERA, 000"
"HELLIN GAS S.L.","ALBACETE","CARRETERA TORREUCHEA KM. 1"
"MULTSER-OIL","ALBACETE","CARRETERA N 301-A KM. S/N"
"PLENOIL","ALBACETE","AVENIDA LIBERTAD, 111"
"IDS","ALBACETE","POLIGONO SAN RAFAEL 3ª FASE, SN"
"NO","ALBACETE","BALTASAR GONZALEZ SAEZ, 34 - 36"
"SAT VIDEMA","ALBACETE","AVENIDA DE LEVANTE 27"
"SECADEMA","ALBACETE","CAMINO HORTIGOSA, S/N"
"COOPERATIVA VITIVINICOLA SANTIAGO EL MAYOR","ALBACETE","CARRETERA MADRID-CARTAGENA KM. S/N"
"OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM","ALBACETE","CALLE COOPERATIVAS, 4"
"ONTALBA S. COOP DE C-LM","ALBACETE","CAMINO DE HELLIN S/N"
"VALERO 24H ENERGIA","ALBACETE","AVENIDA GUARDIA CIVIL, S/N"
"GASOLEOS TURBULA","ALBACETE","CARRETERA FUENTEALAMO KM. 36"
"SAT SANTA CRUZ DE POZO LORENTE","ALBACETE","POLIGONO PARAJE RECIAL, 2"
"RODATRANS","ALBACETE","CR NACIONAL 301 km 210,300"
"HAM","ALBACETE","POLIGONO AVENIDA PRIMERA, 17"
"LA REMEDIADORA","ALBACETE","ALFREDO ATIENZA, 149-151"
"GASPLAY","ALBACETE","CARRETERA AB101 KM. 0,2"
"COOP. LA UNION AB","ALBACETE","CARRETERA VILLAGARCIA KM. 0,1"
"LA GAVIOTA GASOLINERAS","ALBACETE","AVENIDA ALBACETE, 35"
"REPSOL","ALBACETE","AVENIDA GUARDIA CIVIL, 233"
"NO HAY","ALBACETE","SANTA CRUZ 16"
"SAN ISIDRO","ALBACETE","CALLE DEL VINO, 10"
"NO TIENE","ALBACETE","CALLE VALENCIA, 41"
"REPSOL","ALBACETE","AUTOVIA A-43 KM. 129"
"PLENOIL","ALBACETE","CALLE GENERAL MARTI, 2"
"VINICOLA DE VILLARROBLEDO","ALBACETE","CARRETERA MUNERA KM. 0,500"
"GALP","ALICANTE","AUTOPISTA AP 7 KM. 696"
"GALP","ALICANTE","AUTOPISTA AP 7 KM. 696"
"SUVER GASOLEOS","ALICANTE","CALLE POLIGONO INDUSTRIAL MOS DEL BOU, CALLE EL ESPARTO, 5"
"REPSOL","ALICANTE","CARRETERA CATRAL-ALBATERA KM. 4,2"
"REPSOL","ALICANTE","CARRETERA N-340 KM. 696,7"
"REPSOL","ALICANTE","N-340 km 696,7"
"REPSOL","ALICANTE","POLIGONO PLAZA MOSQUERA, 6"
"MASOIL ALCOY","ALICANTE","CALLE ALICANTE, 62"
"GASEXPRESS","ALICANTE","CALLE VALENCIA ESQ C/SANT JOAN BOSCO, 1"
"GASOLINERA ALCOY","ALICANTE","Alicante, 1 - P.I. Beniata"
"PLENOIL","ALICANTE","AVENIDA ALBIR, 90"
"PLENOIL","ALICANTE","AVENIDA PAIS VALENCIÁ, 47"
"BP SANDOVAL MD","ALICANTE","AVENIDA DENIA, 80"
"BP SANDOVAL MI","ALICANTE","AVENIDA DENIA, 75"
"REPSOL","ALICANTE","AVENIDA DE LA UNIVERSIDAD, SN"
"SHELL","ALICANTE","AVENIDA UNIVERSIDAD, S/N"
"GM OIL","ALICANTE","CALLE JATIVA, S/N"
"ALCAMPO","ALICANTE","AVENIDA ANTONIO RAMOS CARRATALA, 56"
"CEPSA","ALICANTE","AVDA. DE LA CONDOMINA, 47 (C-190 km 3,7)"
"GOTETA","ALICANTE","AVENIDA DENIA, 60"
"PLENOIL","ALICANTE","CALLE ANTONIO RAMOS CARRATALÁ, 26"
"AVANZA","ALICANTE","CALLE MUSICO JOSE TORREGROSA, 33"
"PETROPRIX","ALICANTE","AVENIDA NOVELDA, 216"
"VCC ALICANTE","ALICANTE","AVENIDA NOVELDA, 204"
"BALLENOIL","ALICANTE","CALLE OCAÑA, 16"
"TAMOIL","ALICANTE","CALLE ARTES GRAFICAS, 89"
"PETROPRIX","ALICANTE","AVENIDA ELCHE, 150"
"CEPSA","ALICANTE","AVENIDA ELCHE (N-332 P.K. 102), 16"
"CARREFOUR","ALICANTE","CALLE ALCALDE LORENZO CARBONELL, S/N ESQUINA VIA PARQUE, S/N"
"PETRO ALACANT","ALICANTE","CARRETERA OCAÑA KM. 7"
"CEPSA","ALICANTE","POLIGONO ZONA INDUSTRIAL A, POLIGONO B, S/N"
"REPSOL","ALICANTE","CARRETERA CV 820 KM. 1,4"
"PETROPRIX","ALICANTE","CALLE PARTIDA DE LA ERA ALTA, 57"
".ES CARBURANTES","ALICANTE","CALLE REINO UNIDO, 1"
"PETROPRIX","ALICANTE","CALLE CUESTA DE LAS NARICES, 11"
"PLENOIL","ALICANTE","AVENIDA TRES DE AGOSTO, 20"
"GALP","ALICANTE","AVENIDA AVENIDA DE ORIHUELA, 101"
"QFS","ALICANTE","CARRETERA NOVELDA KM. 8"
"COOPERATIVA DIVINA AURORA","ALICANTE","CALLE DR. SILVESTRE,"
"GALP","ALICANTE","AVENIDA VILLAJOYOSA LA, 34"
"BP BENIDORM","ALICANTE","AVENIDA COMUNIDAD VALENCIANA, 18"
"REPSOL","ALICANTE","CARRETERA CV-70 KM. 47"
"PETROENERGY","ALICANTE","AVENIDA COMUNIDAD VALENCIANA- CAMÍ DEL PALASIET, 2"
"BP LA ISLETA","ALICANTE","AVENIDA JAIME I, 23"
"BENIEXPRESS","ALICANTE","CALLE ALCALDE FRANCISCO GONZALEZ FERNANDEZ, 32"
"MASOIL BENISA","ALICANTE","AVINGUDA EUROPA, 34"
"PLENOIL","ALICANTE","AVENIDA EUROPA, 12"
"GASEXPRESS","ALICANTE","CARRETERA MORAIRA-CALPE KM. 3"
"BIGASOIL","ALICANTE","CALLE DEL PROGRESO, 24"
"ATLANTIS EXPRESS","ALICANTE","CALLE EL PI, 1"
"GASEXPRESS","ALICANTE","AVENIDA DIPUTACION, 35"
"AUTOFUEL LOW COST","ALICANTE","AVINGUDA VALL DE LAGUART, 5"
"BP CALPE AUTOMOCION","ALICANTE","PARTIDA ESTACION II, 6"
"CALPE AUTOMOCION II","ALICANTE","PARTIDA ESTACION II, 6"
"REPSOL","ALICANTE","CALLE L ESPORT, 2"
"Q8","ALICANTE","AVENIDA AV DIPUTACION S/N,"
"SHELL","ALICANTE","C/ SAN RAMON, 109"
"GASEXPRESS CAMPELLO","ALICANTE","CALLE SAN RAMON, 125"
"COOPERATIVA SAN CRISTOBAL","ALICANTE","CALLE BIAR, 1"
"MASOIL CASTALLA","ALICANTE","CALLE SAN VICENTE DEL RASPEIG, 4"
"GASEXPRESS","ALICANTE","CARRETERA CATRAL- CALLOSA DEL SEGURA KM. 5,3"
"SHELL","ALICANTE","AVENIDA ALTET L', 3"
"LA 23","ALICANTE","AVENIDA ALACANT, 64"
"CARREFOUR","ALICANTE","AVENIDA AVDA. L'ALTET Nº 2, 2"
"GALP","ALICANTE","AVENIDA AVENIDA DE ALICANTE, 104"
"REPSOL","ALICANTE","CR CV-875 ,P.K. 10,5"
"REPSOL","ALICANTE","AUTOVIA A-37 KM. 728"
"MOSCARDÓ","ALICANTE","P. DE ELCHE, Nº 29-31"
"H.S","ALICANTE","CR N-340, 707,0"
"HAM","ALICANTE","AUTOVIA A7 KM. 526"
"PLENOIL","ALICANTE","PASEO DE ELCHE, 7"
"SHELL","ALICANTE","CAMINO SANTA LLÚCIA, 1"
"TECKMAR","ALICANTE","PARTIDA MADRIGUERES SUD, 25"
"REPSOL","ALICANTE","CALLE AVENIDA VALENCIA, 44"
"REPSOL COMERCIAL","ALICANTE","PARTIDA MADRIGUERES SUD, 61"
"PLENOIL","ALICANTE","CALLE ALICANTE-ALTET, 122"
"BP LA GALIA","ALICANTE","PARTIDA ALTABIX.POL. 1 NO 203 (AV DEL BIMILENARIO S/N)"
"CARREFOUR","ALICANTE","CARRETERA ALICANTE - MURCIA KM. 53"
"CEPSA","ALICANTE","CARRETERA N-340A KM. 716,3"
"E.S. PLUSOIL","ALICANTE","CALLE PANAMA, 5"
"EL CANARI","ALICANTE","CALLE ECUADOR, 8"
"BALLENOIL","ALICANTE","CALLE SENIJA, 2"
"PETROPRIX","ALICANTE","RONDA VALL D'UIXO, 52"
"PLENOIL","ALICANTE","CALLE ALMANSA, 19"
"GALP","ALICANTE","Autovía del Mediterráneo (A-7) a Murcia"
"PETRONOR","ALICANTE","AVENIDA ILLICE, 22"
"GALP","ALICANTE","Autovía del Mediterráneo (A-7) a Valencia"
"REPSOL","ALICANTE","AVENIDA CARTAGENA DE, 59"
"SHELL","ALICANTE","AVENIDA MEDITERRANEO, 16"
"GASEXPRESS","ALICANTE","CALLE MEDICO FEDERICO MARTINEZ PEREZ, 1"
"BDMED ELDA","ALICANTE","POLIGONO CL ITALIA, ESQUINA CL IRLANDA PARC., 32"
"PETROPRIX","ALICANTE","AVENIDA PICASSO, 41"
"GM OIL","ALICANTE","AVENIDA MIGUEL HERNÁNDEZ, 11"
"CARREFOUR","ALICANTE","CARRETERA NUEVA FINESTRATA LA CALA KM. 5"
"REPSOL","ALICANTE","AVENIDA PICASSO, 3"
"BP LOS PALACIOS","ALICANTE","CALLE ACEQUIA DEL RIO, 37"
"GALP","ALICANTE","AVENIDA JUAN CARLOS I, S/N"
"SEVEN OIL","ALICANTE","CALLE FORNERS, 27"
"NEFT","ALICANTE","CALLE CARMEN MARIN GAITE, 10"
"BP PETROBENE","ALICANTE","CARRETERA JACARILLA-BENEJUZAR KM. 2,5"
"ECO COMBUSTIBLE 24H LOW COST","ALICANTE","CALLE BRUSELAS, 4"
"Q8","ALICANTE","AVENIDA DEL TRENC D'ALBA, 47"
"PLENOIL","ALICANTE","AVENIDA PALMELA, 47"
"BP","ALICANTE","AUTOVIA A-31 KM. 216"
"CEPSA","ALICANTE","AUTOVIA A-31 KM. 220"
"CEPSA","ALICANTE","AUTOVIA A-31 KM. 220"
"REPSOL","ALICANTE","CR CV-945  LO BLANC, 1,3 (A-340 km 1,36)"
"GASOLPOP,S.L.","ALICANTE","CALLE DEL TRANSPORT, 25"
".ES CARBURANTES","ALICANTE","AVENIDA PAIS VALENCIÀ, 40"
"BP","ALICANTE","PARTIDA SAN PERET, 26"
"QFS","ALICANTE","AVENIDA JESUS NAVARRO JOVER, 13"
"PLENOIL","ALICANTE","AVENIDA MARINA BAIXA, 112"
"CARREFOUR","ALICANTE","CALLE ELS POBLETS, 10"
"BP","ALICANTE","CALLE P.I. LA MARJAL - C/ GREGAL, S/N"
"T. ALBERO","ALICANTE","CALLE POL LA MARJAL C/LLEBEIG, 21"
"ORIGAS (MONTEPINAR)","ALICANTE","CARRETERA AV-4141 KM. 0,9"
"PLENOIL","ALICANTE","CALLE VIEJO DE CALLOSA, 36"
"EASYGAS","ALICANTE","CARRETERA NACIONAL 332 KM. 53,5"
"PLENOIL","ALICANTE","CALLE SANTA ALODIA, 4"
"PLENOIL","ALICANTE","AVENIDA TIRO DE PICHON, 2"
"REPSOL","ALICANTE","CALLE CLAVO, 1"
"ALCAMPO","ALICANTE","CALLE JADE, 1"
"COMBUSELLA","ALICANTE","CALLE BARRANC DEL MARX, 4"
"GALP","ALICANTE","AUTOPISTA AP-7 (MRG.IZDO.) KM. 613,2"
"GALP","ALICANTE","AUTOPISTA AP-7 (MRG.DCHO.) KM. 613,2"
"LOW COST 24H","ALICANTE","AVENIDA JOAN CARLES I REI, 2"
"E.S. PETRER-ELDA","ALICANTE","AVENIDA DEL MEDITERRANEO, 129"
"SHELL","ALICANTE","AVDA. DEL GUIRNEY, Nº 4"
"BALLENOIL","ALICANTE","CALLE PRESBITERO CONRADO POVEDA, 1"
"CAMPSA EXPRESS","ALICANTE","AVENIDA MEDITERRANEO, 143"
"E.S.HORADADA","ALICANTE","CALLE MAYOR, 113"
"SURINVER","ALICANTE","AVENIDA DE LA COOPERATIVA, S/N"
"ÁRTICO OIL","ALICANTE","CALLE APIO, 2"
"E.S. LA TORRE","ALICANTE","AVENIDA DEL VELERO - ESQ. COMUNIDAD VALENCIANA, 110"
"GLOBALTANK PINOSO","ALICANTE","CARRETERA DE YECLA KM. 2"
"BP ROJALES","ALICANTE","CARRETERA CREVILLENTE-TORREVIEJA KM. 22,8"
"TAMOIL","ALICANTE","CALLE CIUDAD DE LA LUZ, 1"
"BALLENOIL","ALICANTE","AVENIDA JEREZ DE LA FRONTERA, 2"
"MAXOIL","ALICANTE","CALLE VIGO, 40"
"TAMOIL","ALICANTE","CALLE JOSEFA ANIORTE, 3"
"GHOL","ALICANTE","CARRETERA NACIONAL 332 KM. 74,6"
"IDS","ALICANTE","POLIGONO INDUSTRIAL ""LA GRANADINA"", N"
"NATURGY","ALICANTE","CALLE ANTONIO MACHADO / FIDEL, POL. IND. LA GRANADINA, S/N"
"CARREFOUR","ALICANTE","CARRETERA SAN VICENTE -ALICANTE KM 3,7 KM. 3,7"
"PLENOIL","ALICANTE","CARRER PERU, 12"
"GASEXPRESS","ALICANTE","PARTIDA INMEDIACIONES, 28"
"PETROPRIX","ALICANTE","CARRETERA N-332 KM. 116,7"
"PETROPRIX","ALICANTE","CALLE DIAGONAL, 15"
"PLENOIL","ALICANTE","AVENIDA BENIDORM, 23"
"REPSOL","ALICANTE","AVENIDA MIGUEL HERNANDEZ, S/N"
"REPSOL","ALICANTE","AVENIDA MIGUEL HERNANDEZ, S/N"
"CARREFOUR","ALICANTE","CARRETERA DE VALENCIA KM. 89"
"REPSOL","ALICANTE","CR N-332, 93,5"
"LOW COST","ALICANTE","AVENIDA FINLANDIA, 17"
"COFRADÍA DE PESCADORES","ALICANTE","ZONA PORTUARIA, 35"
"VCC SANTA POLA","ALICANTE","CARRETERA SANTA POLA KM. 21"
"PLENOIL","ALICANTE","CARRETERA ELCHE SANTA POLA KM. 34"
"POLAGAS","ALICANTE","CALLE LOS MARINEROS, 1"
"E.LECLERC","ALICANTE","AVENIDA ROSA MAZÓN VALERO, SN"
"GRUPO MARMESA","ALICANTE","CALLE VIAL DE RONDA, S/N"
"CARREFOUR","ALICANTE","CARRETERA CREVILLENTE KM. 34,400"
"Q8","ALICANTE","CARRETERA CTRA CREVILLENTE S/N KM. KM 3"
"GM OIL TORREVIEJA","ALICANTE","CALLE OBENQUE, 1"
".ES CARBURANTES","ALICANTE","AVENIDA DE LAS CORTES VALENCIANAS, SN"
"PLENOIL","ALICANTE","AVENIDA DELFINA VIUDES, S/N"
"GASEXPRESS","ALICANTE","CALLE AVILES, 4"
"FAMILY ENERGY","ALICANTE","URBANIZACIÓN LA CEÑUELA, SN"
"QUALITY OIL","ALICANTE","CALLE CLAUDIO TOLOMEO, 2"
"PETROESPAÑA","ALICANTE","AVENIDA VALENCIA, 50"
"PETROLAVILA","ALICANTE","PARTIDA TORRES NORTE, 31"
"REPSOL","ALICANTE","AVENIDA AVENIDA PAIS VALENCIA, S.N."
"CEPSA","ALICANTE","AUTOPISTA AP-7 (MRG.IZDO.) KM. 655,4"
"CEPSA","ALICANTE","AUTOPISTA AP-7 (MRG.DCHO.) KM. 655,4"
"SUMINISTROS HERMANOS HT","ALICANTE","POLIGONO PP-33, PARCELA 15, S/N"
"GASEXPRESS","ALICANTE","CALLE MARINERS DE LA VILAJOIOSA, 2"
"BP OIL","ALICANTE","CARRETERA N-330 KM. 68"
"REPSOL","ALMERÍA","CARRETERA LA ALQUERIA Nº125 SALIDA AUTOVIA 389 KM. 389"
"CEPSA","ALMERÍA","AUTOVIA A-7 KM. 391"
"E.S CAMPOEJIDO ADRA","ALMERÍA","CALLE BARCELONA, 2"
"CAMPOADRA","ALMERÍA","AVENIDA LEGION ESPAÑOLA, 2"
"CARBURANTES ALMANZORA SL","ALMERÍA","CARRETERA A-334 KM. 72,300"
"BP SAN JOSE","ALMERÍA","CR HUERCAL-OVERA-VILLAC. KM  70,1"
"PLENOIL","ALMERÍA","CARRETERA NIJAR LOS MOLINOS KM. 396"
"REPSOL","ALMERÍA","AVENIDA FEDERICO GARCIA LORCA, S/N"
"PLENOIL","ALMERÍA","CALLE OLULA DEL RIO, 1"
"PLENOIL","ALMERÍA","AVENIDA MEDITERRANEO, 184"
"PETROPRIX","ALMERÍA","CARRETERA AL-3117 - AL-3110 KM. 0+925"
"CEPSA","ALMERÍA","CARRETERA AL-12 KM. 3.6"
"BP RAMBLA INIESTA","ALMERÍA","CALLE CUESTA DE LOS CALLEJONES, 0"
"CARREFOUR","ALMERÍA","CALLE JORGE GUILLEN, S/N"
"BP MONTSERRAT  ALMERIA","ALMERÍA","CALLE MONSERRAT, 0"
"LA TORRE","ALMERÍA","AVENIDA SIERRA ALHAMILLA, 310"
"REPSOL","ALMERÍA","AUTOVIA A7 KM. 460,000"
"BP","ALMERÍA","CARRETERA SAN JOSÉ KM. 0,000"
"JCARRION","ALMERÍA","CARRETERA E-15/N-340 KM. 471"
"E.S LEVANTE ENERGY SHELL","ALMERÍA","AUTOVIA AUTOVIA DEL MEDITERRANEO KM. 529"
"E.S.ARBOLEAS","ALMERÍA","POLIGONO LOS LLANOS, 17"
"MORA OIL","ALMERÍA","POLIGONO SERVICIO LOS LLANOS (LL), 34"
"REPSOL","ALMERÍA","CARRETERA A. 92A KM. 391"
"REPSOL","ALMERÍA","CARRERA A-92 KM.391, 40"
"EESS VEFRUBER ENERGY","ALMERÍA","CALLE LOS IBEROS, 13"
"INDAPAK LOGISTICS","ALMERÍA","POLIGONO INDUSTRIAL S/N, 1"
"PLENOIL","ALMERÍA","AVENIDA A-332 CARLOS HERRERA, 10"
"TRUCK STOP DALIAS","ALMERÍA","CTRA. EL EJIDO-BERJA km 10,200"
"BDMED","ALMERÍA","CALLE CAÑADA CORTES, S/N"
"SPLASH","ALMERÍA","PASEO PEDRO PONCE, 105"
"EJIDO OESTE","ALMERÍA","PARAJE DERRAMADERO DE CABRILES"
"E.S. COOP SANTA MARIA-EL EJIDO","ALMERÍA","CALLE CAMINO DE ROQUETAS, 6"
"E.S CAMPOEJIDO LAS PEÑAS","ALMERÍA","CALLE CUATRO VIENTOS 228, S/N"
"E.S. CAMPOEJIDO CTRA ALMERIMAR","ALMERÍA","CARRETERA DE ALMERIMAR KM. 3"
"BP EL EJIDO-COOP SANTA MARIA","ALMERÍA","CALLE CAMINO DE ADRA S/N ESQUINA CALLE LA PARRA, 0"
"REPSOL LA COSTA","ALMERÍA","CALLE BULEVAR, 74"
"CEPSA ALMERIMAR","ALMERÍA","CARRETERA ALMERIMAR KM. S/N"
"PLENOIL","ALMERÍA","CALLE SIERRA DE ATALAYA, 2"
"TRUCK STOP EL EJIDO S.L.","ALMERÍA","CARRETERA DE LA MOJONERA KM. 0,300"
"PARKING LA REDONDA","ALMERÍA","CARRETERA IRYDA POLIG. IND. LA REDONDA KM. S/N"
"LA TARAMBANA","ALMERÍA","CR N-340; SALIDA BALERMA 6.50"
"GONZALEZ CAÑABATE CARBURANTES","ALMERÍA","CALLE ARGENTINA (CAÑ), 34"
"SUIMASA","ALMERÍA","PARAJE MOJON. POLIGONO 5. PARCELA, 44"
"PLENOIL","ALMERÍA","CARRETERA ESTACIÓN KM. 159"
"ANDAMUR ""EL LIMITE""","ALMERÍA","CR AUTOVIA DEL MEDITERRANEO KM"
"OIL JCJ","ALMERÍA","CALLE MIGUEL URIBE GÓMEZ, 4"
"CEPSA","ALMERÍA","AUTOVIA A7 SALIDA 559 KM. 559"
"REPSOL","ALMERÍA","CR N-340, 547"
"INICIATIVAS RUMIAL","ALMERÍA","POLIGONO LA REDONDA, 1"
"REPSOL","ALMERÍA","N-340 km 420,7"
"SHELL","ALMERÍA","CARRETERA N-340 KM. 418"
"REPSOL","ALMERÍA","CR N-340, 487"
"SHELL","ALMERÍA","N-341 (NIJAR-CARBONERAS) km 0,5"
"BIO SABOR","ALMERÍA","CARRETERA A SAN JOSE KM. 2"
"PLENOIL","ALMERÍA","CALLE BRUSELAS, 60"
"PETROPRIX","ALMERÍA","CALLE VILLA MARIA SURTIDOR, S/N"
"PLENOIL","ALMERÍA","CARRETERA LOS GALLARDOS KM. 40"
"APARCAMIENTOS DE PULPI","ALMERÍA","POLIGONO S-LF1, 1"
"CARREFOUR","ALMERÍA","CARRETERA CRTA. ALICUN KM. S/N"
"E.S PACOCALCULA","ALMERÍA","CARRETERA ALMERIA 9029 KM. 1"
"CEPSA","ALMERÍA","AVENIDA ALICUN, 62"
"CEPSA","ALMERÍA","AVENIDA CALOS III, 82"
"BP AGUADULCE","ALMERÍA","AVENIDA CARLOS III (AS), 305"
"(SIN RÓTULO)","ALMERÍA","AV ANDALUCIA 41"
"PLENOIL","ALMERÍA","CALLE CARRETERA DE CUEVAS, 1"
"VULCO","ALMERÍA","CARRETERA C-3327 KM. 1"
"CEPSA","ALMERÍA","CARRETERA CRTA. NAC 340A KM. 533"
"SHELL","ALMERÍA","POLIGONO SIERRA DE CAZORLA, S7N"
"CAMPO ROQUETAS","ALMERÍA","AVENIDA SIERRA DE GADOR, 6"
"PLENOIL","ALMERÍA","AVENIDA BULEVAR CIUDAD DE VÍCAR, 715"
"BP VIAPARK","ALMERÍA","CARRETERA ROQUETAS KM. 9"
"CONSUMOMAR","ALMERÍA","CTRA. NACIONAL 340"
"PREMIRA ENERGIA NORTE, S.L.","ARABA/ÁLAVA","CL MANISITU, 9"
"ESTACIONES GB","ARABA/ÁLAVA","POLIGONO ZANKUETA, 0"
"AVIA","ARABA/ÁLAVA","AUTOVIA N-1 km 358"
"ADS","ARABA/ÁLAVA","CALLE DEIDA, 6"
"CEPSA","ARABA/ÁLAVA","N-IA km 385,1"
"BIDEKO ATERPE","ARABA/ÁLAVA","POLIGONO SAN JOSE DE LOS LLANOS, 13"
"EUROCAM","ARABA/ÁLAVA","CALLE TRATADO DE PARIS, 6"
"ADS","ARABA/ÁLAVA","CALLE MAASTRICHT, 2"
"NATURGY","ARABA/ÁLAVA","CALLE A-1 KM 342. POL. IND. SUBILLABIDE (SUVILLAVIDE BIDEA), 2"
"PETRONOR","ARABA/ÁLAVA","AU AP-68, 63  D"
"PETRONOR","ARABA/ÁLAVA","AU AP-68, 63,5"
"EESS DYNEFF","ARABA/ÁLAVA","AVENIDA ALAVA, 12"
"SHELL","ARABA/ÁLAVA","CARRETERA N-I KM. 323"
"ORHELA","ARABA/ÁLAVA","CALLE EGUILEOR, 1"
"ALAVESA","ARABA/ÁLAVA","CALLE FUEROS S/N, SN"
"CEPSA","ARABA/ÁLAVA","CALLE POLIGONO OKITURRI, 4"
"ANDAMUR ""SAN ROMAN""","ARABA/ÁLAVA","POLIGONO OKITURRI, S/N"
"VALCARCE","ARABA/ÁLAVA","CALLE DEIDA, 4"
"ARMENTIA","ARABA/ÁLAVA","CALLE ALTO DE ARMENTIA, 10"
"EROSKI","ARABA/ÁLAVA","CALLE BREMEN, 6"
"GM OIL","ARABA/ÁLAVA","AVENIDA DE LOS HUETOS, 64"
"EUSKADILOWCOST","ARABA/ÁLAVA","CALLE VENTA DE LA ESTRELLA, 5"
"BP  SALBURUA","ARABA/ÁLAVA","CALLE DEBA, 1"
"PETROPRIX","ARABA/ÁLAVA","CALLE PORTAL DE GAMARRA, 35"
"GAMARRA LOW COST","ARABA/ÁLAVA","CALLE PORTAL DE GAMARRA, 37"
"EROSKI","ARABA/ÁLAVA","CALLE ZARAMAGA, 1"
"EDP","ARABA/ÁLAVA","CALLE VITORIALANDA, 12"
"CARBES","ARABA/ÁLAVA","AVENIDA DEL ZADORRA, 144"
"N1JUNDIZ","ARABA/ÁLAVA","CALLE MENDIGORRITXU, 50"
"COCEFOR","ARABA/ÁLAVA","ZUAZOBIDEA, 4"
"BEROIL","ARABA/ÁLAVA","VIAL CTRA. N102 KM347, N102"
"REPSOL","ARABA/ÁLAVA","CR N-1, 350,5"
"REPSOL","ARABA/ÁLAVA","CR N-1, 350,5"
"LOS CANAPES","ASTURIAS","TRAVESIA LOS CANAPES, 2"
"PETROPRIX AVILES","ASTURIAS","TRAVESÍA TORNO DEL, 2"
"PLENOIL","ASTURIAS","AVENIDA DE LUGO, 50"
"BALLENOIL","ASTURIAS","CALLE ESTIBADORES, 1"
"FLOREZ COSMEN, S.L.","ASTURIAS","AVENIDA ALEJANDRO CASONA, 35"
"CAMPOASTUR","ASTURIAS","PENLES LA REGLA DE PERANDONES (AS-15 CORNELLANA-PUERTO DE CERREDO km 63)"
"PETRONOR","ASTURIAS","AUTOVIA A-8 KM. 401,5"
"PETRONOR","ASTURIAS","AUTOPISTA A-8 KM. 401,5"
"GF","ASTURIAS","AVENIDA CAMPON EL, 16"
"CEPSA","ASTURIAS","AUTOVIA A8 km 347,5"
"CEPSA","ASTURIAS","AUTOVIA A8 km 347,5"
"VALCARCE (GHC )","ASTURIAS","CARRETERA AVILES - GIJON KM. 12,500"
"REPSOL","ASTURIAS","AUTOVIA DEL CANTABRICO  A8 KM. 134,2"
"REPSOL","ASTURIAS","CALLE CARMEN, 24"
"INNOGAS","ASTURIAS","AVENIDA EDUARDO CASTRO, 92"
"GALP","ASTURIAS","AVENIDA DE LA ARGENTINA, S/N"
"GALP","ASTURIAS","POLIGONO CENTRO DE ALMACENAMIENTO GALP MUSEL GIJÓN, SN"
"EDP","ASTURIAS","AVENIDA DE OVIEDO, 176"
"BALLENOIL","ASTURIAS","AVENIDA CAMPONES, 14"
"BALLENOIL","ASTURIAS","AVENIDA ROCES, N"
"ALCAMPO","ASTURIAS","AUTOPISTA AS -2 KM. 22"
"EASYGAS","ASTURIAS","CALLE NICOLAS COPERNICO, 311"
"REPSOL","ASTURIAS","AVENIDA CONSTITUCION, 220"
"MAXOIL","ASTURIAS","AVENIDA LOS CAMPONES, 2"
"Q8","ASTURIAS","AVENIDA DE LA METALURGIA, S/N"
